Temperature (K)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
13.9570000	1.72000000	78.3693942	0.0127600833	-56.9062945	-34.9589511	-3.29267112	5.19480691	6.84383683	1321.38828	-1.61876698	28.7071906	0.0987776976	liquid
14.6004050	1.72000000	77.8876306	0.0128390091	-52.5964233	-30.5133276	-2.98129610	5.21279020	6.98580619	1310.57676	-1.57667604	26.4921744	0.0999514551	liquid
15.2438100	1.72000000	77.3931879	0.0129210338	-48.1839616	-25.9597834	-2.67612380	5.26090347	7.17402847	1299.31678	-1.52465243	24.5758871	0.101036070	liquid
15.8872150	1.72000000	76.8844425	0.0130065325	-43.6479896	-21.2767537	-2.37525179	5.31861859	7.38577899	1287.80185	-1.46899485	22.8971801	0.102030697	liquid
16.5306200	1.72000000	76.3601341	0.0130958387	-38.9777752	-16.4529326	-2.07763932	5.37706962	7.61058144	1276.02923	-1.41247204	21.4117384	0.102934766	liquid
17.1740250	1.72000000	75.8192319	0.0131892658	-34.1670391	-11.4815020	-1.78263214	5.43306592	7.84424394	1263.92538	-1.35611827	20.0864717	0.103747965	liquid
17.8174300	1.72000000	75.2608261	0.0132871250	-29.2110839	-6.35722896	-1.48973923	5.48595799	8.08565405	1251.40427	-1.30018624	18.8959675	0.104470188	liquid
18.4608350	1.72000000	74.6840464	0.0133897405	-24.1054295	-1.07507586	-1.19853277	5.53607778	8.33512937	1238.38974	-1.24460588	17.8202108	0.105101473	liquid
19.1042400	1.72000000	74.0880021	0.0134974621	-18.8452054	4.37042936	-0.908605863	5.58401238	8.59361417	1224.82109	-1.18918848	16.8430877	0.105641950	liquid
19.7476450	1.72000000	73.4717366	0.0136106760	-13.4248982	9.98546448	-0.619555727	5.63030098	8.86232244	1210.65173	-1.13370815	15.9513796	0.106091774	liquid
20.3910500	1.72000000	72.8341903	0.0137298156	-7.83824569	15.7770371	-0.330976991	5.67533624	9.14261044	1195.84542	-1.07792769	15.1340698	0.106451080	liquid
21.0344550	1.72000000	72.1741681	0.0138553727	-2.07817297	21.7530681	-0.0424579725	5.71935680	9.43596486	1180.37221	-1.02160068	14.3818527	0.106719924	liquid
21.6778600	1.72000000	71.4903068	0.0139879103	3.86328263	27.9224884	0.246423083	5.76247521	9.74404942	1164.20467	-0.964464258	13.6867767	0.106898230	liquid
22.3212650	1.72000000	70.7810389	0.0141280774	9.99508347	34.2953767	0.536103090	5.80471494	10.0687839	1147.31482	-0.906228813	13.0419781	0.106985722	liquid
22.9646700	1.72000000	70.0445513	0.0142766280	16.3273560	40.8831562	0.827041071	5.84604550	10.4124463	1129.67146	-0.846566345	12.4414763	0.106981858	liquid
23.6080750	1.72000000	69.2787334	0.0144344440	22.8716206	47.6988644	1.11972730	5.88641191	10.7778006	1111.23794	-0.785097864	11.8800137	0.106885742	liquid
24.2514800	1.72000000	68.4811133	0.0146025663	29.6411011	54.7575152	1.41469508	5.92575837	11.1682564	1091.97010	-0.721378936	11.3529259	0.106696016	liquid
24.8948850	1.72000000	67.6487741	0.0147822339	36.6511364	62.0765787	1.71253572	5.96404727	11.5880793	1071.81414	-0.654882062	10.8560340	0.106410733	liquid
25.5382900	1.72000000	66.7782455	0.0149749367	43.9197269	69.6766180	2.01391790	6.00127530	12.0426736	1050.70421	-0.584973977	10.3855522	0.106027181	liquid
26.1816950	1.72000000	65.8653576	0.0151824880	51.4682632	77.5821425	2.31961290	6.03748892	12.5389797	1028.55956	-0.510885226	9.93800590	0.105541665	liquid
26.8251000	1.72000000	64.9050430	0.0154071233	59.3225158	85.8227679	2.63052844	6.07280155	13.0860449	1005.28076	-0.431668060	9.51015352	0.104992572	liquid
27.4685050	1.72000000	63.8910607	0.0156516419	67.5140032	94.4348272	2.94775504	6.10741557	13.6958752	980.744665	-0.346136690	9.09890969	0.104355383	liquid
28.1119100	1.72000000	62.8156016	0.0159196119	76.0819313	103.463664	3.27263154	6.14165376	14.3847430	954.797481	-0.252780217	8.70126128	0.103599208	liquid
28.7553150	1.72000000	61.6687098	0.0162156790	85.0760252	112.966993	3.60684079	6.17600712	15.1752707	927.244852	-0.149632180	8.31416885	0.102716957	liquid
29.3987200	1.72000000	60.4374022	0.0165460454	94.5608059	123.020004	3.95255456	6.21121152	16.0998949	897.837429	-0.0340686346	7.93443944	0.101696800	liquid
30.0421250	1.72000000	59.1042751	0.0169192499	104.622321	133.723431	4.31266255	6.24837561	17.2069109	866.249185	0.0975164932	7.55854737	0.100521664	liquid
30.6855300	1.72000000	57.6451905	0.0173475010	115.379272	145.216974	4.69115319	6.28920505	18.5716711	832.043726	0.250257638	7.18235929	0.0991675025	liquid
31.3289350	1.72000000	56.0251950	0.0178491123	127.002545	157.703019	5.09378678	6.33641821	20.3188949	794.619979	0.431788610	6.80067656	0.0976003721	liquid
31.9723400	1.72000000	54.1907650	0.0184533287	139.752207	171.491932	5.52938093	6.39457374	22.6713776	753.120997	0.654088660	6.40640478	0.0957720439	liquid
32.6157450	1.72000000	52.0535907	0.0192109706	154.054690	187.097560	6.01252051	6.47187435	26.0695180	706.275563	0.937293905	5.98889574	0.0936147710	liquid
33.2591500	1.72000000	49.4521847	0.0202215535	170.685688	205.466760	6.57006605	6.58457599	31.5122129	652.127344	1.31837959	5.53025041	0.0910430040	supercritical
33.9025550	1.72000000	46.0459538	0.0217174348	191.279080	228.633068	7.25964552	6.76921979	41.7143666	587.732245	1.87283950	4.99613203	0.0880154251	supercritical
34.5459600	1.72000000	41.0026551	0.0243886645	219.894009	261.842512	8.22935039	7.11393969	64.7705687	511.175643	2.76033546	4.31630886	0.0848199918	supercritical
35.1893650	1.72000000	33.2629715	0.0300634596	262.738975	314.448126	9.73722834	7.62790731	93.7807934	446.211261	4.06553725	3.48403158	0.0793661327	supercritical
35.8327700	1.72000000	26.3975824	0.0378822569	304.606566	369.764048	11.2956033	7.70460202	72.7338301	432.522913	5.12694738	2.93310377	0.0682986270	supercritical
